Image,Classification,Damage,Whole,Front,Rear,Side,Minor,Major,Severe
dmg_0039,['Damage'],1,0,0,0,0,0,0,0
dmg_0040,['Damage'],1,0,0,0,0,0,0,0
dmg_0041,['Damage'],1,0,0,0,0,0,0,0
dmg_0042,['Damage'],1,0,0,0,0,0,0,0
dmg_0043,['Damage'],1,0,0,0,0,0,0,0
dmg_0044,['Damage'],1,0,0,0,0,0,0,0
dmg_0045,['Damage'],1,0,0,0,0,0,0,0
dmg_0046,['Damage'],1,0,0,0,0,0,0,0
dmg_0047,['Damage'],1,0,0,0,0,0,0,0
dmg_0048,['Damage'],1,0,0,0,0,0,0,0
dmg_0049,['Damage'],1,0,0,0,0,0,0,0
dmg_0050,['Damage'],1,0,0,0,0,0,0,0
dmg_0051,['Damage'],1,0,0,0,0,0,0,0
dmg_0052,['Damage'],1,0,0,0,0,0,0,0
dmg_0053,['Damage'],1,0,0,0,0,0,0,0
dmg_0054,['Damage'],1,0,0,0,0,0,0,0
dmg_0055,['Damage'],1,0,0,0,0,0,0,0
dmg_0056,['Damage'],1,0,0,0,0,0,0,0
dmg_0057,['Damage'],1,0,0,0,0,0,0,0
dmg_0058,['Damage'],1,0,0,0,0,0,0,0
dmg_0059,['Damage'],1,0,0,0,0,0,0,0
dmg_0060,['Damage'],1,0,0,0,0,0,0,0
dmg_0061,['Damage'],1,0,0,0,0,0,0,0
dmg_0062,['Damage'],1,0,0,0,0,0,0,0
dmg_0063,['Damage'],1,0,0,0,0,0,0,0
dmg_0064,['Damage'],1,0,0,0,0,0,0,0
dmg_0065,['Damage'],1,0,0,0,0,0,0,0
dmg_0066,['Damage'],1,0,0,0,0,0,0,0
dmg_0067,['Damage'],1,0,0,0,0,0,0,0
dmg_0068,['Damage'],1,0,0,0,0,0,0,0
dmg_0069,['Damage'],1,0,0,0,0,0,0,0
dmg_0070,['Damage'],1,0,0,0,0,0,0,0
dmg_0071,['Damage'],1,0,0,0,0,0,0,0
dmg_0072,['Damage'],1,0,0,0,0,0,0,0
dmg_0073,['Damage'],1,0,0,0,0,0,0,0
dmg_0074,['Damage'],1,0,0,0,0,0,0,0
dmg_0075,['Damage'],1,0,0,0,0,0,0,0
dmg_0076,['Damage'],1,0,0,0,0,0,0,0
dmg_0077,['Damage'],1,0,0,0,0,0,0,0
dmg_0078,['Damage'],1,0,0,0,0,0,0,0
dmg_0079,['Damage'],1,0,0,0,0,0,0,0
dmg_0080,['Damage'],1,0,0,0,0,0,0,0
dmg_0081,['Damage'],1,0,0,0,0,0,0,0
dmg_0082,['Damage'],1,0,0,0,0,0,0,0
dmg_0083,['Damage'],1,0,0,0,0,0,0,0
dmg_0084,['Damage'],1,0,0,0,0,0,0,0
dmg_0085,['Damage'],1,0,0,0,0,0,0,0
dmg_0086,['Damage'],1,0,0,0,0,0,0,0
dmg_0087,['Damage'],1,0,0,0,0,0,0,0
dmg_0088,['Damage'],1,0,0,0,0,0,0,0
dmg_0089,['Damage'],1,0,0,0,0,0,0,0
dmg_0090,['Damage'],1,0,0,0,0,0,0,0
dmg_0091,['Damage'],1,0,0,0,0,0,0,0
dmg_0092,['Damage'],1,0,0,0,0,0,0,0
dmg_0093,['Damage'],1,0,0,0,0,0,0,0
dmg_0094,['Damage'],1,0,0,0,0,0,0,0
dmg_0095,['Damage'],1,0,0,0,0,0,0,0
dmg_0096,['Damage'],1,0,0,0,0,0,0,0
dmg_0097,['Damage'],1,0,0,0,0,0,0,0
dmg_0098,['Damage'],1,0,0,0,0,0,0,0
dmg_0099,['Damage'],1,0,0,0,0,0,0,0
dmg_0100,['Damage'],1,0,0,0,0,0,0,0
dmg_0101,['Damage'],1,0,0,0,0,0,0,0
dmg_0102,['Damage'],1,0,0,0,0,0,0,0
dmg_0103,['Damage'],1,0,0,0,0,0,0,0
dmg_0104,['Damage'],1,0,0,0,0,0,0,0
dmg_0105,['Damage'],1,0,0,0,0,0,0,0
dmg_0106,['Damage'],1,0,0,0,0,0,0,0
dmg_0107,['Damage'],1,0,0,0,0,0,0,0
dmg_0108,['Damage'],1,0,0,0,0,0,0,0
dmg_0109,['Damage'],1,0,0,0,0,0,0,0
dmg_0110,['Damage'],1,0,0,0,0,0,0,0
dmg_0111,['Damage'],1,0,0,0,0,0,0,0
dmg_0112,['Damage'],1,0,0,0,0,0,0,0
dmg_0113,['Damage'],1,0,0,0,0,0,0,0
dmg_0114,['Damage'],1,0,0,0,0,0,0,0
dmg_0115,['Damage'],1,0,0,0,0,0,0,0
dmg_0116,['Damage'],1,0,0,0,0,0,0,0
dmg_0117,['Damage'],1,0,0,0,0,0,0,0
dmg_0118,['Damage'],1,0,0,0,0,0,0,0
dmg_0119,['Damage'],1,0,0,0,0,0,0,0
dmg_0120,['Damage'],1,0,0,0,0,0,0,0
dmg_0121,['Damage'],1,0,0,0,0,0,0,0
dmg_0122,['Damage'],1,0,0,0,0,0,0,0
dmg_0123,['Damage'],1,0,0,0,0,0,0,0
dmg_0124,['Damage'],1,0,0,0,0,0,0,0
dmg_0125,['Damage'],1,0,0,0,0,0,0,0
dmg_0126,['Damage'],1,0,0,0,0,0,0,0
dmg_0127,['Damage'],1,0,0,0,0,0,0,0
dmg_0128,['Damage'],1,0,0,0,0,0,0,0
dmg_0129,['Damage'],1,0,0,0,0,0,0,0
dmg_0130,['Damage'],1,0,0,0,0,0,0,0
dmg_0131,['Damage'],1,0,0,0,0,0,0,0
dmg_0132,['Damage'],1,0,0,0,0,0,0,0
dmg_0133,['Damage'],1,0,0,0,0,0,0,0
dmg_0134,['Damage'],1,0,0,0,0,0,0,0
dmg_0135,['Damage'],1,0,0,0,0,0,0,0
dmg_0136,['Damage'],1,0,0,0,0,0,0,0
dmg_0137,['Damage'],1,0,0,0,0,0,0,0
dmg_0138,['Damage'],1,0,0,0,0,0,0,0
dmg_0139,['Damage'],1,0,0,0,0,0,0,0
dmg_0140,['Damage'],1,0,0,0,0,0,0,0
dmg_0141,['Damage'],1,0,0,0,0,0,0,0
dmg_0142,['Damage'],1,0,0,0,0,0,0,0
dmg_0143,['Damage'],1,0,0,0,0,0,0,0
dmg_0144,['Damage'],1,0,0,0,0,0,0,0
dmg_0145,['Damage'],1,0,0,0,0,0,0,0
dmg_0146,['Damage'],1,0,0,0,0,0,0,0
dmg_0147,['Damage'],1,0,0,0,0,0,0,0
dmg_0148,['Damage'],1,0,0,0,0,0,0,0
dmg_0149,['Damage'],1,0,0,0,0,0,0,0
dmg_0150,['Damage'],1,0,0,0,0,0,0,0
dmg_0151,['Damage'],1,0,0,0,0,0,0,0
dmg_0152,['Damage'],1,0,0,0,0,0,0,0
dmg_0153,['Damage'],1,0,0,0,0,0,0,0
dmg_0154,['Damage'],1,0,0,0,0,0,0,0
dmg_0155,['Damage'],1,0,0,0,0,0,0,0
dmg_0156,['Damage'],1,0,0,0,0,0,0,0
dmg_0157,['Damage'],1,0,0,0,0,0,0,0
dmg_0158,['Damage'],1,0,0,0,0,0,0,0
dmg_0159,['Damage'],1,0,0,0,0,0,0,0
dmg_0160,['Damage'],1,0,0,0,0,0,0,0
dmg_0161,['Damage'],1,0,0,0,0,0,0,0
dmg_0162,['Damage'],1,0,0,0,0,0,0,0
dmg_0163,['Damage'],1,0,0,0,0,0,0,0
dmg_0164,['Damage'],1,0,0,0,0,0,0,0
dmg_0165,['Damage'],1,0,0,0,0,0,0,0
dmg_0166,['Damage'],1,0,0,0,0,0,0,0
dmg_0167,['Damage'],1,0,0,0,0,0,0,0
dmg_0168,['Damage'],1,0,0,0,0,0,0,0
dmg_0169,['Damage'],1,0,0,0,0,0,0,0
dmg_0170,['Damage'],1,0,0,0,0,0,0,0
dmg_0171,['Damage'],1,0,0,0,0,0,0,0
dmg_0172,['Damage'],1,0,0,0,0,0,0,0
dmg_0173,['Damage'],1,0,0,0,0,0,0,0
dmg_0174,['Damage'],1,0,0,0,0,0,0,0
dmg_0175,['Damage'],1,0,0,0,0,0,0,0
dmg_0176,['Damage'],1,0,0,0,0,0,0,0
dmg_0177,['Damage'],1,0,0,0,0,0,0,0
dmg_0178,['Damage'],1,0,0,0,0,0,0,0
dmg_0179,['Damage'],1,0,0,0,0,0,0,0
dmg_0180,['Damage'],1,0,0,0,0,0,0,0
dmg_0181,['Damage'],1,0,0,0,0,0,0,0
dmg_0182,['Damage'],1,0,0,0,0,0,0,0
dmg_0183,['Damage'],1,0,0,0,0,0,0,0
dmg_0184,['Damage'],1,0,0,0,0,0,0,0
dmg_0185,['Damage'],1,0,0,0,0,0,0,0
dmg_0186,['Damage'],1,0,0,0,0,0,0,0
dmg_0187,['Damage'],1,0,0,0,0,0,0,0
dmg_0188,['Damage'],1,0,0,0,0,0,0,0
dmg_0189,['Damage'],1,0,0,0,0,0,0,0
dmg_0190,['Damage'],1,0,0,0,0,0,0,0
dmg_0191,['Damage'],1,0,0,0,0,0,0,0
dmg_0192,['Damage'],1,0,0,0,0,0,0,0
dmg_0193,['Damage'],1,0,0,0,0,0,0,0
dmg_0194,['Damage'],1,0,0,0,0,0,0,0
dmg_0195,['Damage'],1,0,0,0,0,0,0,0
dmg_0196,['Damage'],1,0,0,0,0,0,0,0
dmg_0197,['Damage'],1,0,0,0,0,0,0,0
dmg_0198,['Damage'],1,0,0,0,0,0,0,0
dmg_0199,['Damage'],1,0,0,0,0,0,0,0
dmg_0200,['Damage'],1,0,0,0,0,0,0,0
dmg_0201,['Damage'],1,0,0,0,0,0,0,0
dmg_0202,['Damage'],1,0,0,0,0,0,0,0
dmg_0203,['Damage'],1,0,0,0,0,0,0,0
dmg_0204,['Damage'],1,0,0,0,0,0,0,0
dmg_0205,['Damage'],1,0,0,0,0,0,0,0
dmg_0206,['Damage'],1,0,0,0,0,0,0,0
dmg_0207,['Damage'],1,0,0,0,0,0,0,0
dmg_0208,['Damage'],1,0,0,0,0,0,0,0
dmg_0209,['Damage'],1,0,0,0,0,0,0,0
dmg_0210,['Damage'],1,0,0,0,0,0,0,0
dmg_0211,['Damage'],1,0,0,0,0,0,0,0
dmg_0212,['Damage'],1,0,0,0,0,0,0,0
dmg_0213,['Damage'],1,0,0,0,0,0,0,0
dmg_0214,['Damage'],1,0,0,0,0,0,0,0
dmg_0215,['Damage'],1,0,0,0,0,0,0,0
dmg_0216,['Damage'],1,0,0,0,0,0,0,0
dmg_0217,['Damage'],1,0,0,0,0,0,0,0
dmg_0218,['Damage'],1,0,0,0,0,0,0,0
dmg_0219,['Damage'],1,0,0,0,0,0,0,0
dmg_0220,['Damage'],1,0,0,0,0,0,0,0
dmg_0221,['Damage'],1,0,0,0,0,0,0,0
dmg_0222,['Damage'],1,0,0,0,0,0,0,0
dmg_0223,['Damage'],1,0,0,0,0,0,0,0
dmg_0224,['Damage'],1,0,0,0,0,0,0,0
dmg_0225,['Damage'],1,0,0,0,0,0,0,0
dmg_0226,['Damage'],1,0,0,0,0,0,0,0
dmg_0227,['Damage'],1,0,0,0,0,0,0,0
dmg_0228,['Damage'],1,0,0,0,0,0,0,0
dmg_0229,['Damage'],1,0,0,0,0,0,0,0
dmg_0230,['Damage'],1,0,0,0,0,0,0,0
dmg_0231,['Damage'],1,0,0,0,0,0,0,0
dmg_0232,['Damage'],1,0,0,0,0,0,0,0
dmg_0233,['Damage'],1,0,0,0,0,0,0,0
dmg_0234,['Damage'],1,0,0,0,0,0,0,0
dmg_0235,['Damage'],1,0,0,0,0,0,0,0
dmg_0236,['Damage'],1,0,0,0,0,0,0,0
dmg_0237,['Damage'],1,0,0,0,0,0,0,0
dmg_0238,['Damage'],1,0,0,0,0,0,0,0
dmg_0239,['Damage'],1,0,0,0,0,0,0,0
dmg_0240,['Damage'],1,0,0,0,0,0,0,0
dmg_0241,['Damage'],1,0,0,0,0,0,0,0
dmg_0242,['Damage'],1,0,0,0,0,0,0,0
dmg_0243,['Damage'],1,0,0,0,0,0,0,0
dmg_0244,['Damage'],1,0,0,0,0,0,0,0
dmg_0245,['Damage'],1,0,0,0,0,0,0,0
dmg_0246,['Damage'],1,0,0,0,0,0,0,0
dmg_0247,['Damage'],1,0,0,0,0,0,0,0
dmg_0248,['Damage'],1,0,0,0,0,0,0,0
dmg_0249,['Damage'],1,0,0,0,0,0,0,0
dmg_0250,['Damage'],1,0,0,0,0,0,0,0
dmg_0251,['Damage'],1,0,0,0,0,0,0,0
dmg_0252,['Damage'],1,0,0,0,0,0,0,0
dmg_0253,['Damage'],1,0,0,0,0,0,0,0
dmg_0254,['Damage'],1,0,0,0,0,0,0,0
dmg_0255,['Damage'],1,0,0,0,0,0,0,0
dmg_0256,['Damage'],1,0,0,0,0,0,0,0
dmg_0257,['Damage'],1,0,0,0,0,0,0,0
dmg_0258,['Damage'],1,0,0,0,0,0,0,0
dmg_0259,['Damage'],1,0,0,0,0,0,0,0
dmg_0260,['Damage'],1,0,0,0,0,0,0,0
dmg_0261,['Damage'],1,0,0,0,0,0,0,0
dmg_0262,['Damage'],1,0,0,0,0,0,0,0
dmg_0263,['Damage'],1,0,0,0,0,0,0,0
dmg_0264,['Damage'],1,0,0,0,0,0,0,0
dmg_0265,['Damage'],1,0,0,0,0,0,0,0
dmg_0266,['Damage'],1,0,0,0,0,0,0,0
dmg_0267,['Damage'],1,0,0,0,0,0,0,0
dmg_0268,['Damage'],1,0,0,0,0,0,0,0
dmg_0269,['Damage'],1,0,0,0,0,0,0,0
dmg_0270,['Damage'],1,0,0,0,0,0,0,0
dmg_0271,['Damage'],1,0,0,0,0,0,0,0
dmg_0272,['Damage'],1,0,0,0,0,0,0,0
dmg_0273,['Damage'],1,0,0,0,0,0,0,0
dmg_0274,['Damage'],1,0,0,0,0,0,0,0
dmg_0275,['Damage'],1,0,0,0,0,0,0,0
dmg_0276,['Damage'],1,0,0,0,0,0,0,0
dmg_0277,['Damage'],1,0,0,0,0,0,0,0
dmg_0278,['Damage'],1,0,0,0,0,0,0,0
dmg_0279,['Damage'],1,0,0,0,0,0,0,0
dmg_0280,['Damage'],1,0,0,0,0,0,0,0
dmg_0281,['Damage'],1,0,0,0,0,0,0,0
dmg_0282,['Damage'],1,0,0,0,0,0,0,0
dmg_0283,['Damage'],1,0,0,0,0,0,0,0
dmg_0284,['Damage'],1,0,0,0,0,0,0,0
dmg_0285,['Damage'],1,0,0,0,0,0,0,0
dmg_0286,['Damage'],1,0,0,0,0,0,0,0
dmg_0287,['Damage'],1,0,0,0,0,0,0,0
dmg_0288,['Damage'],1,0,0,0,0,0,0,0
dmg_0289,['Damage'],1,0,0,0,0,0,0,0
dmg_0290,['Damage'],1,0,0,0,0,0,0,0
dmg_0291,['Damage'],1,0,0,0,0,0,0,0
dmg_0292,['Damage'],1,0,0,0,0,0,0,0
dmg_0293,['Damage'],1,0,0,0,0,0,0,0
dmg_0294,['Damage'],1,0,0,0,0,0,0,0
dmg_0295,['Damage'],1,0,0,0,0,0,0,0
dmg_0296,['Damage'],1,0,0,0,0,0,0,0
dmg_0297,['Damage'],1,0,0,0,0,0,0,0
dmg_0298,['Damage'],1,0,0,0,0,0,0,0
dmg_0299,['Damage'],1,0,0,0,0,0,0,0
dmg_0300,['Damage'],1,0,0,0,0,0,0,0
dmg_0301,['Damage'],1,0,0,0,0,0,0,0
dmg_0302,['Damage'],1,0,0,0,0,0,0,0
dmg_0303,['Damage'],1,0,0,0,0,0,0,0
dmg_0304,['Damage'],1,0,0,0,0,0,0,0
dmg_0305,['Damage'],1,0,0,0,0,0,0,0
dmg_0306,['Damage'],1,0,0,0,0,0,0,0
dmg_0307,['Damage'],1,0,0,0,0,0,0,0
dmg_0308,['Damage'],1,0,0,0,0,0,0,0
dmg_0309,['Damage'],1,0,0,0,0,0,0,0
dmg_0310,['Damage'],1,0,0,0,0,0,0,0
dmg_0311,['Damage'],1,0,0,0,0,0,0,0
dmg_0312,['Damage'],1,0,0,0,0,0,0,0
dmg_0313,['Damage'],1,0,0,0,0,0,0,0
dmg_0314,['Damage'],1,0,0,0,0,0,0,0
dmg_0315,['Damage'],1,0,0,0,0,0,0,0
dmg_0316,['Damage'],1,0,0,0,0,0,0,0
dmg_0317,['Damage'],1,0,0,0,0,0,0,0
dmg_0318,['Damage'],1,0,0,0,0,0,0,0
dmg_0319,['Damage'],1,0,0,0,0,0,0,0
dmg_0320,['Damage'],1,0,0,0,0,0,0,0
dmg_0321,['Damage'],1,0,0,0,0,0,0,0
dmg_0322,['Damage'],1,0,0,0,0,0,0,0
dmg_0323,['Damage'],1,0,0,0,0,0,0,0
dmg_0324,['Damage'],1,0,0,0,0,0,0,0
dmg_0325,['Damage'],1,0,0,0,0,0,0,0
dmg_0326,['Damage'],1,0,0,0,0,0,0,0
dmg_0327,['Damage'],1,0,0,0,0,0,0,0
dmg_0328,['Damage'],1,0,0,0,0,0,0,0
dmg_0329,['Damage'],1,0,0,0,0,0,0,0
dmg_0330,['Damage'],1,0,0,0,0,0,0,0
dmg_0331,['Damage'],1,0,0,0,0,0,0,0
dmg_0332,['Damage'],1,0,0,0,0,0,0,0
dmg_0333,['Damage'],1,0,0,0,0,0,0,0
dmg_0334,['Damage'],1,0,0,0,0,0,0,0
dmg_0335,['Damage'],1,0,0,0,0,0,0,0
dmg_0336,['Damage'],1,0,0,0,0,0,0,0
dmg_0337,['Damage'],1,0,0,0,0,0,0,0
dmg_0338,['Damage'],1,0,0,0,0,0,0,0
dmg_0339,['Damage'],1,0,0,0,0,0,0,0
dmg_0340,['Damage'],1,0,0,0,0,0,0,0
dmg_0341,['Damage'],1,0,0,0,0,0,0,0
dmg_0342,['Damage'],1,0,0,0,0,0,0,0
dmg_0343,['Damage'],1,0,0,0,0,0,0,0
dmg_0344,['Damage'],1,0,0,0,0,0,0,0
dmg_0345,['Damage'],1,0,0,0,0,0,0,0
dmg_0346,['Damage'],1,0,0,0,0,0,0,0
dmg_0347,['Damage'],1,0,0,0,0,0,0,0
dmg_0348,['Damage'],1,0,0,0,0,0,0,0
dmg_0349,['Damage'],1,0,0,0,0,0,0,0
dmg_0350,['Damage'],1,0,0,0,0,0,0,0
dmg_0351,['Damage'],1,0,0,0,0,0,0,0
dmg_0352,['Damage'],1,0,0,0,0,0,0,0
dmg_0353,['Damage'],1,0,0,0,0,0,0,0
dmg_0354,['Damage'],1,0,0,0,0,0,0,0
dmg_0355,['Damage'],1,0,0,0,0,0,0,0
dmg_0356,['Damage'],1,0,0,0,0,0,0,0
dmg_0357,['Damage'],1,0,0,0,0,0,0,0
dmg_0358,['Damage'],1,0,0,0,0,0,0,0
dmg_0359,['Damage'],1,0,0,0,0,0,0,0
dmg_0360,['Damage'],1,0,0,0,0,0,0,0
dmg_0361,['Damage'],1,0,0,0,0,0,0,0
dmg_0362,['Damage'],1,0,0,0,0,0,0,0
dmg_0363,['Damage'],1,0,0,0,0,0,0,0
dmg_0364,['Damage'],1,0,0,0,0,0,0,0
dmg_0365,['Damage'],1,0,0,0,0,0,0,0
dmg_0366,['Damage'],1,0,0,0,0,0,0,0
dmg_0367,['Damage'],1,0,0,0,0,0,0,0
dmg_0368,['Damage'],1,0,0,0,0,0,0,0
dmg_0369,['Damage'],1,0,0,0,0,0,0,0
dmg_0370,['Damage'],1,0,0,0,0,0,0,0
dmg_0371,['Damage'],1,0,0,0,0,0,0,0
dmg_0372,['Damage'],1,0,0,0,0,0,0,0
dmg_0373,['Damage'],1,0,0,0,0,0,0,0
dmg_0374,['Damage'],1,0,0,0,0,0,0,0
dmg_0375,['Damage'],1,0,0,0,0,0,0,0
dmg_0376,['Damage'],1,0,0,0,0,0,0,0
dmg_0377,['Damage'],1,0,0,0,0,0,0,0
dmg_0378,['Damage'],1,0,0,0,0,0,0,0
dmg_0379,['Damage'],1,0,0,0,0,0,0,0
dmg_0380,['Damage'],1,0,0,0,0,0,0,0
dmg_0381,['Damage'],1,0,0,0,0,0,0,0
dmg_0382,['Damage'],1,0,0,0,0,0,0,0
dmg_0383,['Damage'],1,0,0,0,0,0,0,0
dmg_0384,['Damage'],1,0,0,0,0,0,0,0
dmg_0385,['Damage'],1,0,0,0,0,0,0,0
dmg_0386,['Damage'],1,0,0,0,0,0,0,0
dmg_0387,['Damage'],1,0,0,0,0,0,0,0
dmg_0388,['Damage'],1,0,0,0,0,0,0,0
dmg_0389,['Damage'],1,0,0,0,0,0,0,0
dmg_0390,['Damage'],1,0,0,0,0,0,0,0
dmg_0391,['Damage'],1,0,0,0,0,0,0,0
dmg_0392,['Damage'],1,0,0,0,0,0,0,0
dmg_0393,['Damage'],1,0,0,0,0,0,0,0
dmg_0394,['Damage'],1,0,0,0,0,0,0,0
dmg_0395,['Damage'],1,0,0,0,0,0,0,0
dmg_0396,['Damage'],1,0,0,0,0,0,0,0
dmg_0397,['Damage'],1,0,0,0,0,0,0,0
dmg_0398,['Damage'],1,0,0,0,0,0,0,0
dmg_0399,['Damage'],1,0,0,0,0,0,0,0
dmg_0400,['Damage'],1,0,0,0,0,0,0,0
dmg_0401,['Damage'],1,0,0,0,0,0,0,0
dmg_0402,['Damage'],1,0,0,0,0,0,0,0
dmg_0403,['Damage'],1,0,0,0,0,0,0,0
dmg_0404,['Damage'],1,0,0,0,0,0,0,0
dmg_0405,['Damage'],1,0,0,0,0,0,0,0
dmg_0406,['Damage'],1,0,0,0,0,0,0,0
dmg_0407,['Damage'],1,0,0,0,0,0,0,0
dmg_0408,['Damage'],1,0,0,0,0,0,0,0
dmg_0409,['Damage'],1,0,0,0,0,0,0,0
dmg_0410,['Damage'],1,0,0,0,0,0,0,0
dmg_0411,['Damage'],1,0,0,0,0,0,0,0
dmg_0412,['Damage'],1,0,0,0,0,0,0,0
dmg_0413,['Damage'],1,0,0,0,0,0,0,0
dmg_0414,['Damage'],1,0,0,0,0,0,0,0
dmg_0415,['Damage'],1,0,0,0,0,0,0,0
dmg_0416,['Damage'],1,0,0,0,0,0,0,0
dmg_0417,['Damage'],1,0,0,0,0,0,0,0
dmg_0418,['Damage'],1,0,0,0,0,0,0,0
dmg_0419,['Damage'],1,0,0,0,0,0,0,0
dmg_0420,['Damage'],1,0,0,0,0,0,0,0
dmg_0421,['Damage'],1,0,0,0,0,0,0,0
dmg_0422,['Damage'],1,0,0,0,0,0,0,0
dmg_0423,['Damage'],1,0,0,0,0,0,0,0
dmg_0424,['Damage'],1,0,0,0,0,0,0,0
dmg_0425,['Damage'],1,0,0,0,0,0,0,0
dmg_0426,['Damage'],1,0,0,0,0,0,0,0
dmg_0427,['Damage'],1,0,0,0,0,0,0,0
dmg_0428,['Damage'],1,0,0,0,0,0,0,0
dmg_0429,['Damage'],1,0,0,0,0,0,0,0
dmg_0430,['Damage'],1,0,0,0,0,0,0,0
dmg_0431,['Damage'],1,0,0,0,0,0,0,0
dmg_0432,['Damage'],1,0,0,0,0,0,0,0
dmg_0433,['Damage'],1,0,0,0,0,0,0,0
dmg_0434,['Damage'],1,0,0,0,0,0,0,0
dmg_0435,['Damage'],1,0,0,0,0,0,0,0
dmg_0436,['Damage'],1,0,0,0,0,0,0,0
dmg_0437,['Damage'],1,0,0,0,0,0,0,0
dmg_0438,['Damage'],1,0,0,0,0,0,0,0
dmg_0439,['Damage'],1,0,0,0,0,0,0,0
dmg_0440,['Damage'],1,0,0,0,0,0,0,0
dmg_0441,['Damage'],1,0,0,0,0,0,0,0
dmg_0442,['Damage'],1,0,0,0,0,0,0,0
dmg_0443,['Damage'],1,0,0,0,0,0,0,0
dmg_0444,['Damage'],1,0,0,0,0,0,0,0
dmg_0445,['Damage'],1,0,0,0,0,0,0,0
dmg_0446,['Damage'],1,0,0,0,0,0,0,0
dmg_0447,['Damage'],1,0,0,0,0,0,0,0
dmg_0448,['Damage'],1,0,0,0,0,0,0,0
dmg_0449,['Damage'],1,0,0,0,0,0,0,0
dmg_0450,['Damage'],1,0,0,0,0,0,0,0
dmg_0451,['Damage'],1,0,0,0,0,0,0,0
dmg_0452,['Damage'],1,0,0,0,0,0,0,0
dmg_0453,['Damage'],1,0,0,0,0,0,0,0
dmg_0454,['Damage'],1,0,0,0,0,0,0,0
dmg_0455,['Damage'],1,0,0,0,0,0,0,0
dmg_0456,['Damage'],1,0,0,0,0,0,0,0
dmg_0457,['Damage'],1,0,0,0,0,0,0,0
dmg_0458,['Damage'],1,0,0,0,0,0,0,0
dmg_0459,['Damage'],1,0,0,0,0,0,0,0
dmg_0460,['Damage'],1,0,0,0,0,0,0,0
dmg_0461,['Damage'],1,0,0,0,0,0,0,0
dmg_0462,['Damage'],1,0,0,0,0,0,0,0
dmg_0463,['Damage'],1,0,0,0,0,0,0,0
dmg_0464,['Damage'],1,0,0,0,0,0,0,0
dmg_0465,['Damage'],1,0,0,0,0,0,0,0
dmg_0466,['Damage'],1,0,0,0,0,0,0,0
dmg_0467,['Damage'],1,0,0,0,0,0,0,0
dmg_0468,['Damage'],1,0,0,0,0,0,0,0
dmg_0469,['Damage'],1,0,0,0,0,0,0,0
dmg_0470,['Damage'],1,0,0,0,0,0,0,0
dmg_0471,['Damage'],1,0,0,0,0,0,0,0
dmg_0472,['Damage'],1,0,0,0,0,0,0,0
dmg_0473,['Damage'],1,0,0,0,0,0,0,0
dmg_0474,['Damage'],1,0,0,0,0,0,0,0
dmg_0475,['Damage'],1,0,0,0,0,0,0,0
dmg_0476,['Damage'],1,0,0,0,0,0,0,0
dmg_0477,['Damage'],1,0,0,0,0,0,0,0
dmg_0478,['Damage'],1,0,0,0,0,0,0,0
dmg_0479,['Damage'],1,0,0,0,0,0,0,0
dmg_0480,['Damage'],1,0,0,0,0,0,0,0
